Step,Type,V_initial_RHE,V_final_RHE,dV,A_1exp (mA),A_1exp_err,tau_1exp (ms),tau_1exp_err (ms),B_1exp (mA·s^0.5),B_1exp_err,C_1exp (mA),C_1exp_err,R2_1exp,BIC_1exp,|A|_1exp,|B|_1exp,|B|/dV_1exp,Q_exp_1exp (mC),A1_2exp (mA),A1_2exp_err,tau1_2exp (ms),tau1_2exp_err (ms),A2_2exp (mA),A2_2exp_err,tau2_2exp (ms),tau2_2exp_err (ms),B_2exp (mA·s^0.5),B_2exp_err,C_2exp (mA),C_2exp_err,R2_2exp,BIC_2exp,delta_BIC,Best_Model,|A1|_2exp,|A2|_2exp,|B|_2exp,|B|/dV_2exp,tau2/tau1,|A1|/|A2|,Q_fast (mC),Q_slow (mC),Q_total_2exp (mC),Q_fast/Q_total
2,FALLING,1.3614989583180181,1.3112023222557256,0.05029663606229251,3.7193780997048678,0.0013189365085575309,20.379041773396917,0.007816557496522132,0.010433334457695058,6.111961935256797e-05,0.01621060887723237,6.180407898655737e-05,0.999410418826409,-217781.48564806138,3.7193780997048678,0.010433334457695058,0.20743602901739486,75.79736166494314,3.5514401651249434,0.00224407689312372,20.360683873977003,0.006956772490931796,-0.02904399704104094,0.0003679631345900342,898.654670437729,9.816248192510304,0.022700711337253925,0.0001520749918658721,0.01144378748457657,0.00011149201672177217,0.9996085529327766,-225947.59783214252,-8166.112184081139,2exp,3.5514401651249434,0.02904399704104094,0.022700711337253925,0.4513365726713619,44.1367625959902,122.2779412939115,72.30975049945367,26.100523589111024,98.41027408856469,0.7347784687031584
4,FALLING,1.3814708090811025,1.3112012560076007,0.0702695530735018,5.255059847903757,0.0012988897872510323,21.315081874540695,0.0056421086236859265,0.011615962593335956,6.192393898111145e-05,0.015367555438560035,6.23590857005247e-05,0.9997115962114511,-217640.62820853075,5.255059847903757,0.011615962593335956,0.16530577021296383,112.01203091367996,5.293129256294782,0.0025675995073048733,20.593015691257282,0.011230316628694883,0.11086300383396766,0.0020835436818073916,87.44223444991269,1.2050507835982776,0.004815371681632689,0.00010029696942036355,0.020416330783626247,8.028337080191979e-05,0.9998042636745783,-225367.6451578289,-7727.016949298151,2exp,5.293129256294782,0.11086300383396766,0.004815371681632689,0.06852714256764691,4.246208314551816,47.74477574342076,109.00149383073145,9.694108773071369,118.69560260380281,0.9183279872176092
6,FALLING,1.4015178895,1.3111909597824782,0.09032692971752176,6.85782710160593,0.0017466969444415357,22.17253198822672,0.005993420060563664,0.012713534091374053,8.533289404834742e-05,0.014194719533314873,8.562133460183879e-05,0.9996940705374494,-205156.1093139108,6.85782710160593,0.012713534091374053,0.14075020739809183,152.05539078008562,7.034871427564795,0.002673285689356645,21.632136469875118,0.007361401243400795,0.09648604578349912,0.0009876136162537098,174.00723168263835,1.6333393744535856,-0.002091085572984806,0.0001755938714366631,0.024572556037386884,0.00012799559412300724,0.9998070269003991,-214346.38842942653,-9190.279115515732,2exp,7.034871427564795,0.09648604578349912,0.002091085572984806,0.02315018986612554,8.043922611387025,72.9107651830819,152.17929876910682,16.789269722790984,168.9685684918978,0.9006367286375155
8,FALLING,1.421524859128,1.3112000227702771,0.11032483635772294,8.35779700985289,0.00176758219667948,23.076513537006605,0.005130753806127328,0.015053964424884039,8.847785627471548e-05,0.012899298165875109,8.845149725819614e-05,0.9997915991356934,-204044.7879313338,8.35779700985289,0.015053964424884039,0.1364512735470759,192.86881583742354,8.515582086209605,0.0027383804925997283,22.590288580794798,0.0069039322903102175,0.09992134987900932,0.0011434829144734919,162.31803959335986,1.6973226250733306,0.0011134289373071027,0.000178065286739821,0.02272316766814014,0.000131090709600222,0.9998628349489205,-212385.11471837974,-8340.326787045953,2exp,8.515582086209605,0.09992134987900932,0.0011134289373071027,0.010092278167509473,7.185301728786016,85.22284873573841,192.36945676092157,16.219037625882997,208.58849438680457,0.9222438530295608
10,FALLING,1.4415273728291316,1.3111938242324233,0.13033354859670832,9.656819404356572,0.0029486870524543947,24.397378537626786,0.007726064815544391,0.01351431903299613,0.0001525707812879282,0.01539422953040112,0.00015174841428690494,0.9995688018915039,-182726.67901385116,9.656819404356572,0.01351431903299613,0.10369025610446278,235.60107847758687,10.146786822903922,0.004774303493033221,23.838144930633128,0.007454640870285899,0.1496018034163112,0.001228471936900489,313.0849149645955,1.8352931419529201,-0.025139621120501658,0.0003440785921052021,0.040216460220236235,0.00023135856255500622,0.9997590471992138,-194338.639094423,-11611.960080571851,2exp,10.146786822903922,0.1496018034163112,0.025139621120501658,0.1928867999926197,13.133778483000444,67.82529749770121,241.88057486462213,46.83806790114593,288.7186427657681,0.8377726237126129
12,FALLING,1.461532703696,1.3111999546434645,0.15033274905253546,10.661345491252812,0.002276334522266997,25.114953969640066,0.005521110504679692,0.020778047034839507,0.00011979333163643072,0.009229897556750334,0.00011883177346880257,0.9997950260253987,-192633.49506904313,10.661345491252812,0.020778047034839507,0.13821371035780358,267.759201267244,10.882678101734012,0.003454130718252154,24.53690349019194,0.007339265576481967,0.1383061632470051,0.0014555685300899548,173.89548167155127,1.6347591216363055,0.0006289887582020663,0.0002328357132829337,0.023273734883311702,0.0001697923705368122,0.9998733227393204,-202232.24167719638,-9598.746608153248,2exp,10.882678101734012,0.1383061632470051,0.0006289887582020663,0.004183976958887775,7.087099712523302,78.68541680458819,267.0272222970726,24.050816875982154,291.0780391730548,0.9173733032409113
14,FALLING,1.4815245995119999,1.3111918882958296,0.17033271121617033,11.309442277391538,0.0036305256096701155,26.697471414023752,0.008687161805893085,0.017468506354592784,0.00019786599721089402,0.012486975473862707,0.00019518527995034652,0.9995417576126072,-173070.7614967295,11.309442277391538,0.017468506354592784,0.10255520639499122,301.9335119092123,11.892625597875512,0.0056181444941667,25.951089327212316,0.008706949439652367,0.19588101135192268,0.0015590980697063475,298.76289882223443,1.7872516137760908,-0.030438377728453522,0.000415156965611181,0.043399660488073255,0.00028109325122227047,0.9997540400756125,-185487.46004784075,-12416.698551111243,2exp,11.892625597875512,0.19588101135192268,0.030438377728453522,0.1786995434472007,11.512537876741522,60.713519476929015,308.6265892255592,58.521978775731434,367.14856800129064,0.8406040936117019
16,FALLING,1.5015409365880001,1.3111842274752474,0.1903567091127527,11.915532555900914,0.0028172526057086166,27.15424551117812,0.006479067510163434,0.025943625814503397,0.0001550172824181588,0.005458690913003215,0.00015268091182622667,0.9997577414799742,-182962.9631595943,11.915532555900914,0.025943625814503397,0.1362895268332065,323.55729641936915,12.247329822564593,0.003386492421842455,26.221394690328776,0.007073615776524395,0.23084687012261285,0.0015612345890166214,172.03998281974376,1.0168895142256489,-0.006094769353558487,0.00022974292777332261,0.027730185589069416,0.00016784272066355452,0.999907170647077,-202115.53788623688,-19152.574726642575,2exp,12.247329822564593,0.23084687012261285,0.006094769353558487,0.03201762302976363,6.561053858938982,53.053913254528865,321.14206918010046,39.714891569885935,360.8569607499864,0.8899428419300973
18,FALLING,1.5215126060344137,1.311193410772077,0.21031919526233667,12.127006919231842,0.003585812288513766,28.634402466543676,0.008425812587095289,0.025236267885821406,0.00020321232973305372,0.006524939623263289,0.00019918663082060142,0.9996278731892133,-172563.18029136857,12.127006919231842,0.025236267885821406,0.11999032163632779,347.24959683984446,12.540960308736615,0.005234371242016596,27.66061356373974,0.01047025994312787,0.2311154942291365,0.0020936981966507527,204.96711025819772,1.596526575020455,-0.013146486098212656,0.00037748354689881965,0.03261186232545586,0.0002692426325052959,0.9997933576160045,-184300.6274261592,-11737.447134790622,2exp,12.540960308736615,0.2311154942291365,0.013146486098212656,0.06250730505988622,7.410070994480355,54.2627414512635,346.89065681816174,47.37107498804128,394.26173180620304,0.8798486610125117
20,FALLING,1.5415490029799999,1.3111945887863787,0.23035441419362113,12.422959523914123,0.0031652177220077705,28.913875239157647,0.007312273003769389,0.0384215122664057,0.00018033526234090565,-0.0026736216580582396,0.0001766072423536397,0.9997327889675147,-177413.73148720028,12.422959523914123,0.0384215122664057,0.1667930367251875,359.19590177555824,12.464282354749484,0.007281144549784696,27.494549077713103,0.015967976496796293,0.41840444728641574,0.0065522356873176126,98.24580257701004,0.9703932585063976,0.014846517425913256,0.0002525192163282582,0.014444796689608923,0.00019860193619710128,0.9998555734853285,-189691.28534661097,-12277.553859410691,2exp,12.464282354749484,0.41840444728641574,0.014846517425913256,0.06445076157053464,3.573282918709419,29.790033149951558,342.69982292113315,41.10648072544421,383.80630364657736,0.892897848902199
22,FALLING,1.561540127392,1.3111957226432642,0.25034440474873576,12.588183086374624,0.00348256334279182,30.240484301064438,0.008204904597152566,0.03420780966646846,0.00020330741787240943,0.0015124253354175056,0.00019829875754934733,0.999687042551559,-172969.42370520442,12.588183086374624,0.03420780966646846,0.13664299667812413,380.6727530024367,12.88568450164533,0.004116436504071106,28.687236269796905,0.00993481759894432,0.3847486222051586,0.002729701017838697,141.21881813708492,0.7860943492605678,-0.004195814868423709,0.00024512493592106335,0.0285615650837193,0.00018403057525247137,0.999901080253726,-195969.81229465004,-23000.388589445618,2exp,12.88568450164533,0.3847486222051586,0.004195814868423709,0.016760170344669537,4.92270558268333,33.49117776638671,369.65467579675976,54.33374570768429,423.98842150444403,0.8718508738637459
24,FALLING,1.581522471960784,1.3112059660021003,0.27031650595868384,12.740546793553703,0.0034446635322119812,30.472300233829912,0.008063420244261543,0.046742365598490584,0.00020192191182210158,-0.007925219793099233,0.00019681183815347362,0.9997099464803147,-173301.46821994358,12.740546793553703,0.046742365598490584,0.1729171714199164,388.23376703632744,12.4246362665556,0.01190654382618374,27.950856097963147,0.019967067837161432,0.9055598869792291,0.011749019430426775,76.77380954119457,0.4864288325433835,0.018325140899866182,0.00019836478258948497,0.01299985874906685,0.00016050702375540097,0.9999067588383537,-195964.4328315235,-22662.964611579926,2exp,12.4246362665556,0.9055598869792291,0.018325140899866182,0.0677914241118042,2.7467426855232984,13.7203915999435,347.27922035602967,69.523282291089,416.8025026471187,0.8331985008498134
26,FALLING,1.6015160659360002,1.3111935765466545,0.2903224893893457,12.778392447259716,0.0035600350912563315,31.860708317549268,0.00858327050494175,0.043814866890275056,0.00021369251261578004,-0.0044535945867728,0.0002074519650202377,0.9996952371013579,-171375.07281939598,12.778392447259716,0.043814866890275056,0.15091792228164527,407.12863452931634,12.83224999504867,0.004748536971033334,29.523687011839566,0.010776720092624812,0.6568823108644833,0.0042904757616247045,104.46347408392967,0.4249883197413085,0.006056122516708853,0.00017024127473727217,0.02272048954129334,0.00013281084198193732,0.9999464151608373,-206098.02798504513,-34722.95516564915,2exp,12.83224999504867,0.6568823108644833,0.006056122516708853,0.02085998411437947,3.5382936434069974,19.535082286141815,378.8553325114968,68.62020825718379,447.47554076868056,0.8466503707905311
28,FALLING,1.631521409196,1.3111990840529053,0.32032232514309467,12.767916873155844,0.003706951551863091,33.19518824599284,0.00921605403951818,0.049993446275757115,0.00022734634116217895,-0.008161930397999362,0.00021989860898194286,0.999678575524317,-169204.36806528177,12.767916873155844,0.049993446275757115,0.15607231326578314,423.8334041135965,12.526149041034245,0.010964729099389309,30.378658259578234,0.021079641609825252,0.8945634702800164,0.010724549957360953,87.29360635820115,0.535060675032388,0.016556169421021782,0.00022731945959988126,0.01614947926770533,0.00018105611801189054,0.9998977496822743,-192076.44701713586,-22872.078951854084,2exp,12.526149041034245,0.8945634702800164,0.016556169421021782,0.05168596791880115,2.873517507333555,14.002526882875408,380.5276010261229,78.08967143705011,458.61727246317304,0.8297280191440659
30,FALLING,1.661494970520208,1.3111887858420843,0.3503061846781237,12.754190505940954,0.004535387350159419,34.164270649885694,0.011526595258787598,0.06288065515395538,0.00028232661584586455,-0.01759221543967529,0.0002723791106198294,0.9995359271088633,-160756.39659759373,12.754190505940954,0.06288065515395538,0.17950198399075604,435.73761636516934,10.738030297821906,0.056301050062974936,28.605163910311667,0.06903366453563946,2.730060706129235,0.056547614016003736,58.42170995036218,0.40887425608094213,0.03101873034981276,0.00029137372205487584,0.006172009828971382,0.00024238754672228875,0.9997977332803134,-177334.88325396582,-16578.486656372086,2exp,10.738030297821906,2.730060706129235,0.03101873034981276,0.08854748133640317,2.0423483722567366,3.933256968870344,307.16311674308844,159.4948147203631,466.6579314634515,0.658218999471019
32,FALLING,1.6914710874669867,1.3111893432978297,0.38028174416915705,12.786906330659523,0.00542321116133209,35.004084205675866,0.013992729648409663,0.07243486499241317,0.0003418227361031253,-0.02388249164727745,0.00032906945958276434,0.9993583580935231,-153286.76906779053,12.786906330659523,0.07243486499241317,0.19047684014037936,447.5939459284957,5.973343169043857,0.08103487875478017,22.1063313920634,0.13688712736339217,7.730517193091721,0.08159473587894397,44.796786368673516,0.15740689735192737,0.038595388825465614,0.0003185886718456527,0.0019477811448031415,0.00027412444717593516,0.9997245991543623,-170172.02222045354,-16885.253152663005,2exp,5.973343169043857,7.730517193091721,0.038595388825465614,0.10149156360316261,2.026423361442796,0.7726964470607296,132.04870361340167,346.3023272182875,478.3510308316892,0.2760497941936365
34,FALLING,1.721499394397759,1.3111999276732675,0.41029946672449147,12.786930029473512,0.004573808805210283,36.474399354975624,0.012159857488400384,0.06680588948688627,0.0002943625570933641,-0.018723425153556607,0.0002823529873955785,0.9995452677310188,-159551.76909783122,12.786930029473512,0.06680588948688627,0.16282226740437175,466.3955924191471,9.21447203516426,0.06879882737862802,28.335282953140027,0.08718263263024054,4.362018800315056,0.06909727470396912,54.63855550390946,0.2683769090132585,0.03245242863287644,0.00026588441180881847,0.006984787311430488,0.00022266304239493934,0.9998386874595512,-180245.79263118425,-20694.02353335303,2exp,9.21447203516426,4.362018800315056,0.03245242863287644,0.07909449381436229,1.928286920383641,2.112432902512645,261.0946723801753,238.33440633011074,499.42907871028603,0.5227862843998193
36,FALLING,1.751520467827131,1.3112068370227024,0.44031363080442865,12.760937988902716,0.005825525052718901,37.363091056264665,0.015793793548243944,0.08024204755792913,0.0003794751383542328,-0.027453427946087988,0.000363224872870921,0.9992854993179294,-149565.106297543,12.760937988902716,0.08024204755792913,0.18223839087454854,476.7880880427191,4.857288600611586,0.030272994603260796,19.06152269131768,0.07496787120813221,9.162117726193218,0.030548508080230994,46.28105835122511,0.06504216229953694,0.03598785026510099,0.00022757589142999513,0.006450603040121305,0.00019611344102266913,0.9998699068324782,-183589.8189921386,-34024.7126945956,2exp,4.857288600611586,9.162117726193218,0.03598785026510099,0.08173231021568235,2.427983278182998,0.5301491146228425,92.58731687883645,424.03250510674224,516.6198219855787,0.1792175076112759
38,FALLING,1.7814981655062023,1.3111950713756375,0.4703030941305648,12.689127787475044,0.006368502858353121,38.817219735140924,0.017854236691852515,0.0867440474882261,0.00042278484403222995,-0.031043250877400973,0.00040333360981499735,0.9991596352533425,-145502.05278219798,12.689127787475044,0.0867440474882261,0.1844428594470279,492.5566615737013,4.385624659034634,0.02074400952222419,17.1769579582235,0.06262754450505485,9.77678149249627,0.02088505660647409,47.244040049971446,0.048955827794267937,0.03676747187899568,0.00022466658324522435,0.007345444686504615,0.0001937573242560555,0.999878360604951,-184112.62363671942,-38610.570854521444,2exp,4.385624659034634,9.77678149249627,0.03676747187899568,0.07817824789557593,2.750431139487844,0.44857550129361323,75.33169038878617,461.89465639131333,537.2263467800994,0.14022337296056214
40,FALLING,1.8115023278511404,1.311198753192319,0.5003035746588214,12.631516610494486,0.005538690734269741,40.34593525905492,0.01604595310239393,0.08137190896632701,0.00037473094506538894,-0.0257967376002914,0.0003562961767302142,0.999361007414402,-150577.51865086198,12.631516610494486,0.08137190896632701,0.16264506809054488,509.63035139068734,4.672714706851515,0.027935270166905023,20.588018727162524,0.07625915219617398,9.178998276975777,0.028122463347080157,49.591779689051734,0.0635655148276289,0.03579495344881776,0.00021851568412894584,0.008900609572082488,0.0001865785676371139,0.9998928234771883,-186242.81517594325,-35665.29652508127,2exp,4.672714706851515,9.178998276975777,0.03579495344881776,0.07154646750870786,2.4087689226561415,0.509065865996768,96.20193789134673,455.20286031796826,551.404798209315,0.17446699449073014
42,FALLING,1.8415010185274108,1.31118737009951,0.5303136484279007,12.642843236293183,0.007527422861832308,40.57949565449414,0.021880335787899004,0.09752928338129242,0.0005107170335945487,-0.03716987156372506,0.0004853507834640096,0.9988601127558575,-138238.2963813547,12.642843236293183,0.09752928338129242,0.18390868059009063,513.0402021676098,3.426671858112251,0.008895797681071658,9.904724829616638,0.03731009687794578,11.410026047045159,0.007763894041697317,46.19187143693169,0.02413894767686191,0.041331141516658475,0.00023335585175938815,0.006786564640950313,0.00020423998258816122,0.999866998140571,-181156.9929080572,-42918.69652670249,2exp,3.426671858112251,11.410026047045159,0.041331141516658475,0.07793716348652054,4.663619861382817,0.3003211249460427,33.94024183599299,527.050456257152,560.9906980931449,0.060500542970424925
44,FALLING,1.871499592196879,1.3111901265891588,0.5603094656077201,12.546535269958495,0.006670324743146762,42.12691789111079,0.020082748506006828,0.08985162401550494,0.00046083996776014567,-0.02979824209340116,0.00043654623027361024,0.9990906185181829,-142581.71287646092,12.546535269958495,0.08985162401550494,0.16036071051923156,528.5468611354671,3.27209131855402,0.009379157271153881,12.29894934216633,0.043354587380979644,11.09448948025989,0.00889258941932064,48.205970597905605,0.02608559477790289,0.03641888272014335,0.00020937657106355007,0.011657800323468461,0.00018157800777704295,0.9998991536566894,-186516.65149617853,-43934.938619717606,2exp,3.27209131855402,11.09448948025989,0.03641888272014335,0.06499780024355448,3.9195194042009636,0.29492941738112055,40.24328536983812,534.8206336841813,575.0639190540194,0.06998054309517168
46,FALLING,1.9014887222088837,1.3111889742064207,0.590299748002463,12.512242031189002,0.006409610234924129,43.66602971590804,0.0198702748590071,0.09212513318030359,0.0004505049908472112,-0.028938118894946987,0.00042545434816605634,0.9991697616147489,-143706.52445965292,12.512242031189002,0.09212513318030359,0.1560650050962231,546.3599323465324,3.0320971980038025,0.009130042371800704,12.064379108018358,0.0462909196004108,11.254521048557141,0.008467089253138313,49.344650642777026,0.025968312546260704,0.0398769627741175,0.00021987549817415562,0.011575400162348856,0.00019024949272406294,0.9998941714602532,-184857.79289653245,-41151.26843687953,2exp,3.0320971980038025,11.254521048557141,0.0398769627741175,0.06755375198627243,4.090111078321557,0.2694114822764959,36.58037008907808,555.3504092928326,591.9307793819107,0.06179839157422259
48,FALLING,1.9314766477390957,1.3111883975167515,0.6202882502223441,12.561922373863846,0.00767941504681243,44.08738692364688,0.023881896783921767,0.10161966770031833,0.000542226784071967,-0.035953535369480746,0.0005116596812247101,0.9988412725114971,-136355.79340119488,12.561922373863846,0.10161966770031833,0.1638265236587868,553.8223322013521,3.493404191921569,0.007073729147309102,10.35844436765526,0.030211929172417294,11.403292860907444,0.00587964595901422,50.24044063982641,0.02056346866636386,0.037719261455024064,0.00020367113691829647,0.013776432315202553,0.00017637149331337616,0.9999122099085965,-187905.027032777,-51549.233631582116,2exp,3.493404191921569,11.403292860907444,0.037719261455024064,0.06080924705812739,4.8501916751809375,0.3063504756505546,36.18623297575325,572.9064580769767,609.09269105273,0.05941005943317182
50,FALLING,1.9614832791516605,1.3111878419633953,0.6502954371882652,12.436373914397043,0.007178927097262439,45.577144310860504,0.023115375982811354,0.0989918113410836,0.0005149115016200858,-0.032614280528345016,0.000484499017359784,0.9989746170198556,-138634.0272524266,12.436373914397043,0.0989918113410836,0.1522259048427319,566.8144086002952,3.08980650597098,0.007736359400152062,8.456872523084256,0.03244958588199118,11.712037719658358,0.005217670694004244,50.402345244368334,0.02024509538388763,0.04100127100545368,0.0002376222412978661,0.012741396477197022,0.00020641523355885723,0.9998796952523707,-181448.66082054438,-42814.63356811777,2exp,3.08980650597098,11.712037719658358,0.04100127100545368,0.06305022096223553,5.95992727888328,0.26381459656544803,26.13009974199295,590.314168661285,616.4442684032779,0.04238842192445958
